iter	Passed	Remaining
1160	2803	238700
1161	2806	238688
1162	2808	238669
1163	2810	238656
1164	2812	238640
1165	2815	238627
1166	2817	238598
1167	2819	238590
1168	2821	238580
1169	2824	238559
1170	2826	238572
1171	2829	238602
1172	2832	238681
1173	2837	238842
1174	2842	239040
1175	2846	239221
1176	2849	239238
1177	2852	239267
1178	2854	239273
1179	2857	239273
1180	2859	239252
1181	2861	239228
1182	2863	239194
1183	2865	239177
1184	2867	239145
1185	2869	239110
1186	2871	239081
1187	2874	239049
1188	2876	239014
1189	2878	238992
1190	2880	238977
1191	2882	238954
1192	2884	238927
1193	2886	238884
1194	2888	238858
1195	2891	238837
1196	2893	238843
1197	2896	238875
1198	2898	238883
1199	2901	238891
1200	2904	238949
1201	2907	238951
1202	2909	238950
1203	2911	238942
1204	2914	238941
1205	2916	238932
1206	2919	238920
1207	2921	238891
1208	2923	238870
1209	2925	238844
1210	2927	238836
1211	2929	238818
1212	2932	238802
1213	2934	238800
1214	2937	238806
1215	2939	238812
1216	2942	238826
1217	2944	238817
1218	2947	238825
1219	2949	238824
1220	2951	238812
1221	2954	238797
1222	2956	238781
1223	2958	238778
1224	2961	238771
1225	2963	238759
1226	2965	238733
1227	2967	238716
1228	2970	238766
1229	2973	238757
1230	2975	238741
1231	2977	238732
1232	2980	238709
1233	2982	238679
1234	2984	238670
1235	2986	238655
1236	2988	238641
1237	2991	238623
1238	2993	238602
1239	2995	238580
1240	2997	238563
1241	3000	238555
1242	3002	238548
1243	3005	238556
1244	3007	238537
1245	3009	238534
1246	3012	238533
1247	3014	238527
1248	3016	238518
1249	3019	238512
1250	3021	238509
1251	3023	238488
1252	3025	238462
1253	3028	238453
1254	3030	238440
1255	3032	238423
1256	3034	238412
1257	3037	238418
1258	3040	238422
1259	3042	238423
1260	3044	238416
1261	3047	238406
1262	3049	238393
1263	3051	238383
1264	3053	238356
1265	3056	238356
1266	3058	238331
1267	3060	238306
1268	3063	238308
1269	3065	238309
1270	3067	238303
1271	3070	238298
1272	3072	238294
1273	3074	238280
1274	3077	238263
1275	3079	238251
1276	3081	238237
1277	3083	238214
1278	3085	238193
1279	3088	238172
1280	3090	238154
1281	3092	238140
1282	3094	238136
1283	3097	238106
1284	3099	238096
1285	3101	238070
1286	3103	238045
1287	3105	238034
1288	3108	238025
1289	3110	238028
1290	3113	238029
1291	3115	238014
1292	3117	238007
1293	3120	238010
1294	3122	237993
1295	3124	237989
1296	3127	237980
1297	3129	237971
1298	3131	237966
1299	3134	237948
1300	3136	237926
1301	3138	237891
1302	3140	237861
1303	3142	237834
1304	3144	237828
1305	3146	237809
1306	3149	237806
1307	3151	237797
1308	3153	237771
1309	3156	237786
1310	3158	237788
1311	3161	237787
1312	3163	237784
1313	3166	237800
1314	3168	237810
1315	3171	237797
1316	3173	237806
1317	3175	237788
1318	3178	237780
1319	3181	237812
1320	3183	237793
1321	3185	237764
1322	3187	237749
1323	3190	237748
1324	3192	237740
1325	3194	237754
1326	3197	237762
1327	3199	237752
1328	3202	237744
1329	3204	237748
1330	3206	237734
1331	3209	237718
1332	3211	237693
1333	3213	237671
1334	3215	237648
1335	3217	237621
1336	3219	237593
1337	3221	237571
1338	3223	237546
1339	3225	237514
1340	3228	237494
1341	3230	237484
1342	3232	237466
1343	3234	237453
1344	3237	237447
1345	3239	237443
1346	3241	237434
1347	3244	237425
1348	3246	237415
1349	3248	237389
1350	3251	237395
1351	3253	237376
1352	3255	237375
1353	3257	237360
1354	3260	237339
1355	3262	237327
1356	3264	237302
1357	3266	237274
1358	3268	237256
1359	3270	237235
1360	3273	237212
1361	3275	237191
1362	3277	237185
1363	3279	237178
1364	3281	237153
1365	3284	237131
1366	3286	237113
1367	3288	237090
1368	3290	237065
1369	3292	237045
1370	3294	237028
1371	3297	237012
1372	3299	236992
1373	3301	236985
1374	3303	236970
1375	3305	236943
1376	3308	236933
1377	3310	236931
1378	3312	236907
1379	3314	236898
1380	3317	236882
1381	3319	236863
1382	3321	236851
1383	3323	236844
1384	3326	236830
1385	3328	236809
1386	3330	236790
1387	3332	236783
1388	3335	236774
1389	3337	236752
1390	3339	236732
1391	3341	236715
1392	3343	236707
1393	3346	236683
1394	3348	236681
1395	3350	236672
1396	3353	236664
1397	3355	236645
1398	3357	236656
1399	3360	236661
1400	3362	236643
1401	3365	236650
1402	3367	236648
1403	3369	236642
1404	3372	236635
1405	3374	236621
1406	3376	236607
1407	3378	236592
1408	3381	236580
1409	3383	236559
1410	3385	236555
1411	3387	236535
1412	3389	236512
1413	3392	236499
1414	3394	236474
1415	3396	236449
1416	3398	236437
1417	3400	236419
1418	3403	236415
1419	3405	236402
1420	3407	236386
1421	3409	236367
1422	3411	236352
1423	3413	236329
1424	3416	236303
1425	3418	236288
1426	3420	236273
1427	3422	236253
1428	3424	236233
1429	3426	236214
1430	3429	236197
1431	3431	236180
1432	3433	236171
1433	3436	236177
1434	3438	236161
1435	3440	236153
1436	3443	236156
1437	3445	236143
1438	3447	236123
1439	3449	236106
1440	3451	236092
1441	3453	236067
1442	3456	236052
1443	3458	236043
1444	3460	236024
1445	3462	236001
1446	3464	235985
1447	3467	235985
1448	3469	235989
1449	3472	235999
1450	3474	236003
1451	3477	236000
1452	3479	235993
1453	3481	235990
1454	3484	235978
1455	3486	235966
1456	3488	235953
1457	3491	235949
1458	3493	235932
1459	3495	235946
1460	3500	236096
1461	3502	236070
1462	3504	236042
1463	3506	236033
1464	3509	236029
1465	3511	236009
1466	3513	235992
1467	3515	235971
1468	3517	235951
1469	3519	235935
1470	3522	235935
1471	3525	235949
1472	3527	235937
1473	3529	235926
1474	3531	235915
1475	3534	235901
1476	3536	235931
1477	3539	235935
1478	3541	235926
1479	3543	235906
1480	3545	235886
1481	3548	235866
1482	3550	235868
1483	3553	235871
1484	3555	235885
1485	3557	235875
1486	3560	235862
1487	3562	235853
1488	3564	235841
1489	3567	235839
1490	3569	235828
1491	3572	235841
1492	3574	235848
1493	3576	235846
1494	3579	235835
1495	3581	235830
1496	3583	235815
1497	3586	235811
1498	3588	235792
1499	3590	235773
1500	3592	235748
1501	3594	235729
1502	3596	235700
1503	3598	235673
1504	3601	235674
1505	3603	235651
1506	3605	235626
1507	3607	235601
1508	3609	235596
1509	3611	235580
1510	3614	235568
1511	3616	235567
1512	3618	235550
1513	3620	235531
1514	3622	235510
1515	3626	235576
1516	3628	235557
1517	3630	235540
1518	3633	235540
1519	3635	235525
1520	3637	235504
1521	3639	235493
1522	3641	235476
1523	3643	235458
1524	3646	235446
1525	3648	235430
1526	3650	235423
1527	3652	235416
1528	3655	235400
1529	3657	235382
1530	3659	235366
1531	3661	235359
1532	3663	235343
1533	3666	235329
1534	3668	235316
1535	3670	235294
1536	3672	235281
1537	3675	235279
1538	3677	235275
1539	3679	235264
1540	3682	235255
1541	3684	235245
1542	3686	235227
1543	3688	235215
1544	3690	235196
1545	3693	235198
1546	3695	235211
1547	3698	235219
1548	3700	235216
1549	3703	235212
1550	3705	235220
1551	3708	235230
1552	3710	235217
1553	3712	235213
1554	3715	235207
1555	3717	235189
1556	3719	235178
1557	3721	235155
1558	3723	235133
1559	3725	235110
1560	3728	235097
1561	3730	235074
1562	3732	235051
1563	3734	235021
1564	3736	234993
1565	3738	234972
1566	3740	234944
1567	3742	234927
1568	3744	234907
1569	3746	234884
1570	3748	234859
1571	3750	234839
1572	3752	234820
1573	3755	234814
1574	3757	234809
1575	3760	234819
1576	3762	234807
1577	3764	234797
1578	3766	234788
1579	3769	234789
1580	3771	234787
1581	3773	234778
1582	3776	234772
1583	3778	234762
1584	3780	234761
1585	3783	234758
1586	3785	234762
1587	3788	234751
1588	3790	234748
1589	3792	234738
1590	3794	234722
1591	3797	234711
1592	3799	234698
1593	3801	234690
1594	3803	234673
1595	3805	234663
1596	3808	234666
1597	3810	234660
1598	3813	234657
1599	3815	234670
1600	3818	234667
1601	3820	234661
1602	3822	234646
1603	3824	234637
1604	3827	234622
1605	3829	234603
1606	3831	234599
1607	3833	234579
1608	3835	234566
1609	3837	234539
1610	3840	234530
1611	3842	234508
1612	3844	234482
1613	3846	234463
1614	3848	234441
1615	3850	234437
1616	3852	234405
1617	3854	234380
1618	3856	234364
1619	3858	234344
1620	3860	234325
1621	3863	234307
1622	3865	234287
1623	3867	234271
1624	3869	234260
1625	3871	234242
1626	3874	234242
1627	3876	234231
1628	3878	234223
1629	3880	234198
1630	3882	234171
1631	3884	234151
1632	3886	234124
1633	3888	234109
1634	3891	234110
1635	3893	234103
1636	3895	234081
1637	3897	234062
1638	3899	234045
1639	3901	234015
1640	3903	233998
1641	3906	233983
1642	3908	233960
1643	3910	233934
1644	3912	233913
1645	3914	233889
1646	3916	233871
1647	3918	233873
1648	3921	233884
1649	3924	233896
1650	3926	233896
1651	3928	233893
1652	3931	233892
1653	3933	233890
1654	3935	233887
1655	3938	233883
1656	3940	233870
1657	3942	233858
1658	3944	233846
1659	3947	233843
1660	3949	233831
1661	3951	233813
1662	3953	233804
1663	3956	233788
1664	3958	233775
1665	3960	233758
1666	3962	233751
1667	3964	233741
1668	3967	233725
1669	3969	233718
1670	3971	233704
1671	3973	233689
1672	3975	233674
1673	3978	233678
1674	3980	233668
1675	3982	233658
1676	3985	233647
1677	3987	233636
1678	3989	233627
1679	3991	233620
1680	3994	233611
1681	3996	233600
1682	3998	233604
1683	4001	233591
1684	4003	233572
1685	4005	233555
1686	4007	233546
1687	4009	233528
1688	4011	233514
1689	4014	233511
1690	4016	233496
1691	4018	233480
1692	4021	233486
1693	4023	233488
1694	4025	233476
1695	4027	233464
1696	4030	233453
1697	4032	233440
1698	4034	233430
1699	4036	233422
1700	4038	233405
1701	4041	233392
1702	4043	233384
