iter	Logloss	Accuracy	Recall	Precision	F1
313	0.1657172369	0.98625	0.9885245902	0.9844897959	0.9865030675
314	0.1647263925	0.9870833333	0.9893442623	0.9853061224	0.9873210634
315	0.1639647373	0.98625	0.9893442623	0.9837000815	0.9865140989
316	0.1632292604	0.9870833333	0.9893442623	0.9853061224	0.9873210634
317	0.1622785871	0.9883333333	0.9909836066	0.9861337684	0.9885527392
318	0.1619967818	0.98875	0.9909836066	0.9869387755	0.9889570552
319	0.1614674205	0.9891666667	0.9909836066	0.987745098	0.9893617021
320	0.1610889619	0.98875	0.9918032787	0.9861450693	0.9889660809
321	0.1604393891	0.9879166667	0.9909836066	0.9853300733	0.9881487536
322	0.1599823014	0.9879166667	0.9901639344	0.986122449	0.9881390593
323	0.159128742	0.9879166667	0.9909836066	0.9853300733	0.9881487536
324	0.1586198526	0.9883333333	0.9901639344	0.9869281046	0.9885433715
325	0.1574842386	0.99	0.9909836066	0.9893617021	0.9901719902
326	0.1572023692	0.9904166667	0.9909836066	0.9901719902	0.9905776321
327	0.1565291677	0.9891666667	0.9901639344	0.9885433715	0.9893529894
328	0.1560622166	0.9883333333	0.9893442623	0.9877250409	0.9885339885
329	0.1550877228	0.9904166667	0.9926229508	0.9885714286	0.990593047
330	0.1548986866	0.9908333333	0.9918032787	0.9901800327	0.990990991
331	0.1541544344	0.9908333333	0.9926229508	0.989379085	0.9909983633
332	0.1532021325	0.9920833333	0.9926229508	0.9918099918	0.9922163048
333	0.1522845635	0.9920833333	0.9918032787	0.9926168991	0.9922099221
334	0.1512321707	0.99375	0.9950819672	0.9926410466	0.9938600082
335	0.1503796175	0.99375	0.9950819672	0.9926410466	0.9938600082
336	0.1501345292	0.99375	0.9950819672	0.9926410466	0.9938600082
337	0.1497023396	0.9933333333	0.9942622951	0.9926350245	0.9934479934
338	0.1494596675	0.9933333333	0.9942622951	0.9926350245	0.9934479934
339	0.1487083444	0.99375	0.9942622951	0.9934479934	0.9938549775
340	0.1482111915	0.99375	0.9942622951	0.9934479934	0.9938549775
341	0.1475803452	0.99375	0.9942622951	0.9934479934	0.9938549775
342	0.1473852266	0.99375	0.9942622951	0.9934479934	0.9938549775
343	0.147246395	0.9933333333	0.993442623	0.993442623	0.993442623
344	0.1466668244	0.9933333333	0.993442623	0.993442623	0.993442623
345	0.1462314622	0.9933333333	0.993442623	0.993442623	0.993442623
346	0.1454502932	0.9933333333	0.993442623	0.993442623	0.993442623
347	0.1451065381	0.9945833333	0.9950819672	0.9942669943	0.9946743138
348	0.1443255405	0.99375	0.9942622951	0.9934479934	0.9938549775
